Date & Time,use [kW],gen [kW],Grid [kW],Solar [kW],Solar+ [kW]
1/13/15 9:00,61.15502944,8.706448333,52.44858111,8.706448333,8.706448333
1/13/15 10:00,62.3429225,13.76134667,48.58157583,13.76134667,13.76134667
1/13/15 11:00,59.57457444,17.69463361,41.87994083,17.69463361,17.69463361
1/13/15 12:00,63.59275028,24.89873778,38.6940125,24.89873778,24.89873778
1/13/15 13:00,62.52536167,25.492755,37.03260667,25.492755,25.492755
1/13/15 14:00,59.63124,19.86763861,39.76360139,19.86763861,19.86763861
1/13/15 15:00,59.84423472,4.193447222,55.6507875,4.193447222,4.193447222
1/13/15 16:00,62.52090361,1.178296944,61.33794306,1.178296944,1.182960556
1/13/15 17:00,62.83477861,0.004374444,62.78892167,0.004374444,0.045856944
1/13/15 18:00,66.86121694,0.002713333,66.84778167,0.002713333,0.013435278
1/13/15 19:00,62.1919375,0.000846389,62.17999389,0.000846389,0.011943611
1/13/15 20:00,63.49141917,0.002123333,63.47803,0.002123333,0.013389167
1/13/15 21:00,64.98882,0.002831389,64.97471111,0.002831389,0.014108889
1/13/15 22:00,59.72422056,0.001414167,59.71161944,0.001414167,0.012601111
1/13/15 23:00,52.66927361,-0.001377778,52.66003472,-0.001377778,0.009238889
1/14/15 0:00,52.37642167,-0.001931111,52.36762611,-0.001931111,0.008795556
1/14/15 1:00,52.69244333,-0.002407778,52.68410722,-0.002407778,0.008336111
1/14/15 2:00,52.81094333,-0.002285556,52.80244306,-0.002285556,0.008500278
1/14/15 3:00,52.85247167,-0.002431944,52.84404639,-0.002431944,0.008425278
1/14/15 4:00,56.98852444,-0.000133889,56.97735722,-0.000133889,0.011167222
1/14/15 5:00,59.42188139,0.001677222,59.40967083,0.001677222,0.012210556
1/14/15 6:00,64.99520389,0.002974722,64.98155556,0.002974722,0.013648333
1/14/15 7:00,61.41422639,0.003064722,61.40016944,0.003064722,0.014056944
1/14/15 8:00,62.01508028,0.236378611,61.74261444,0.236378611,0.272465833
1/14/15 9:00,64.99785694,7.984743611,57.01311333,7.984743611,7.984743611
1/14/15 10:00,61.86780361,37.75423056,24.11357306,37.75423056,37.75423056
1/14/15 11:00,60.25302833,58.62402667,1.629001667,58.62402667,58.62402667
